1120,,PONDESUR,COSTELETA DE CERDO,321.73,0,321.73,23,397.71,13.55,499,13.55,499,13.55,10,0,10.5,,15,K,1,22.65,539,7,6,
1121,,PONDESUR,CHORIZO CERDO CRIOLLO,196.31,0,196.31,18,232.8,41.65,379.05,34.56,399,34.56,15,5,21,,15,U,0.42,52.3,429,0,10,D01
1122,,PONDESUR,MORCILLA,92.75,0,92.75,18,109.99,49.53,179.1,34.57,199,34.57,15,10,21,,15,U,0.42,57.04,209,0,10,D02
1123,,PONDESUR,SALCHICHA PARRILLERA,207.27,0,207.27,18,245.8,34.16,399,34.16,399,34.16,15,0,21,,15,U,0.51,34.16,399,0,10,D03
1130,,MORENITA,PALETA C/HUESO,599,0,599,9,656.17,10.2,799,10.2,799,10.2,10,0,10.5,,1,K,1,10.2,799,0,0,
1131,,MORENITA,CARNE-PALETA SIN HUESO,559,0,559,10,617.98,9.69,749,9.69,749,9.69,10,0,10.5,,1,K,1,9.69,749,0,0,
1132,,MORENITA,ASADO NOVILLITO LIVIANO,600,0,600,9,657.27,10.01,799,10.01,799,10.01,10,0,10.5,,22,K,1,10.01,799,0,0,
1133,,MORENITA,VACIO DE NOVILLITO,678,0,678,13,769.97,13.89,969,13.89,969,13.89,0,0,10.5,,20,K,1,13.89,969,0,0,
1134,,MORENITA,CARNE PICADA ESPECIAL,497.73,0,497.73,16,580.25,24.61,799,24.61,799,24.61,0,0,10.5,,20,K,1,24.61,799,0,0,
1135,,MORENITA,OSOBUCO ESPECIAL,420,0,420,10,464.31,16.75,599,16.75,599,16.75,0,0,10.5,,20,K,1,16.75,599,0,0,
1136,,MORENITA,MATAMBRE DE NOVILLITO,723.98,0,723.98,12,814.91,10.94,999,10.94,999,10.94,0,0,10.5,,20,K,1,10.94,999,0,0,
1137,,MORENITA,CARNE PARA ESTOFADO,570.13,0,570.13,20,687.58,18.33,899,18.33,899,18.33,0,0,10.5,,20,K,1,18.33,899,0,0,
1138,,MORENITA,FALDA / ASADO COMUN,284,0,284,10,313.96,6.36,369,6.36,369,6.36,0,0,10.5,,1,K,1,6.36,369,0,0,
1500,322,FRIAR,MEDALLONES FRIAR 2x55g,43.89,20,35.11,15,40.58,69.28,66.5,35.42,83.12,35.42,6,20,21,7793040000361,36,U,0.11,69.28,83.12,117,13,H8
1501,311,FRIAR,MEDALLONES FRIAR 2x80g,62.3,20,49.84,20,60.11,77.36,103.2,41.89,129,41.89,12,20,21,7793040000385,30,U,0.16,77.36,129,104,13,H4
1503,4309,FRIAR,HAMBURGUESAS FRIAR 2x80g,101.9,25,76.43,14,87.56,66.94,141.5,33.55,176.87,33.55,6,20,21,7793040065117,30,U,0.16,66.94,176.87,104,13,H7
1505,2323,FRIAR,MEDALLONES FRIAR 2X110G,83.15,15,70.68,19,84.53,75.01,143.2,40.01,179,40.01,20,20,21,7793040000392,20,U,0.22,75.01,179,112,14,H6
1506,,FRIAR,HAMB. FRIAR GIGANTE 2X110,134.8,15,114.58,20,138.18,72.85,231.2,38.28,289,38.28,20,20,21,7793040093004,20,U,0.22,72.85,289,112,14,H9
1509,3130,ARTICO,MILANESA DE MERLUZA,502.9,5,477.76,22,585.78,48,944.1,33.2,1049,33.2,5,10,21,,6,K,1,55.05,1099,120,10,
1511,,SWIFT,NUGGETS DE POLLO,237.48,0,237.48,18,281.63,61.11,466.65,36.94,549,36.94,6,15,21,,6,K,1,75.78,599,120,10,
1512,,SWIFT,PATITA DE CARNE X380 GR,154.36,0,154.36,20,186.16,54.94,296.65,31.7,349,31.7,12,15,21,7790360023902,12,U,0.38,68.26,379,0,0,D69
1531,,PONDESUR,MILANESA DE CERDO ESPECIA,387.34,0,387.34,18,459.35,38.36,692.1,24.52,769,24.52,5,10,21,,7|20,K,1,43.75,799,70,10,
1533,4635,ARTICO,CROQUETA ESPINACA Y QUESO,341.1,5,324.05,22,397.31,87,674.25,40.25,899,40.25,5,25,21,,6,K,1,91.16,919,150,10,
1540,,GRAAS,PAMPLONA DE POLLO,459.68,0,459.68,20,554.37,42.97,911.05,35.82,959,35.82,10,5,21,,10,K,1,48.93,999,15,5,
1543,,GRAAS,BROCHETTE DE POLLO,459.68,0,459.68,20,554.37,42.97,911.05,35.82,959,35.82,10,5,21,,10,K,1,48.93,999,15,5,
1546,Q,SWIFT,MED DOBLE BURGER Sw 2x55g,42.26,0,42.26,19,50.54,70,83.17,36,103.96,36,6,20,21,7790360966797,42,U,0.11,70,103.96,144,16,H1
1548,8,SWIFT,HAMBURGUESA SWIFT 2x80g,79.32,0,79.32,16,92.47,69.43,151.66,35.55,189.58,35.55,6,20,21,7790360000118,30,U,0.16,69.43,189.58,144,16,H2
1550,CASER,SWIFT,HAMB. SUPER SWIFT 2x120g,137.27,0,137.27,16,160.03,64.74,255.2,31.79,319,31.79,5,20,21,7790360967701,24,U,0.24,64.74,319,99,11,H3
1553,,FARMFRITES,PAPAS BASTON ESPECIAL FF,168.07,15,142.86,18,169.42,78.05,273.75,33.54,365,33.54,10,25,21,,10|12|12.5,K,1,84.88,379,70,10,D04
1554,,FARMFRITES,RAPIPAP PAPAS,146.21,10,131.59,20,158.7,71.33,259.91,35.35,329,35.35,15,21,21,,15,K,1,76.54,339,0,0,
1555,,FARMFRITES,PAPA RESTAURANT 12X12,172.99,15,147.04,19,175.85,78.12,291.83,37.15,379,37.15,10,23,21,FARMFRITES,10,K,1,87.52,399,0,0,
1564,,SWIFT,CAJA HAMB. SWIFT 12x80g,527.22,0,527.22,10,582.84,27.48,899,27.48,899,27.48,99,0,21,7790360026590,8,U,0.96,27.48,899,80,10,
1606,,CALISA,PECHUGA HORNEADA,520.66,0,520.66,16,606.99,22.4,854.05,16.28,899,16.28,5,5,21,,5,K,1,36.02,999,140,10,
1608,00219,CALISA,FORMITA DE POLLO REB.,298.51,0,298.51,17,351,64.58,524.25,23.44,699,23.44,5,25,21,,5,K,1,78.71,759,140,10,
1611,5329,CALISA,MED. DE POLLO C/ESPINACA,350.58,0,350.58,18,415.75,57.27,672.5,33.68,791.18,33.68,5,15,21,,5,K,1,68.97,850,140,10,
1612,5328,CALISA,MED. DE POLLO C/JAM Y QUE,350.58,0,350.58,20,422.8,56.92,682.36,33.38,802.78,33.38,5,15,21,,5,K,1,62.35,830.56,140,10,
1650,,CAMELIAS,PATA MUSLO,178,0,178,5.5,188.73,37.66,229.66,10.13,287.08,10.13,15,20,10.5,,15,K,1,37.66,287.08,50,5,F1
1651,,CAMELIAS,FILET DE PECHUGA,440,0,440,14,504.11,18.3,639.23,14.75,659,14.75,15,3,10.5,,15,K,1,25.48,699,50,5,
1652,,CAMELIAS,PATA DESHUESADA,336,0,336,18,398.46,29.23,540.55,22.77,569,22.77,15,5,10.5,,15,K,1,40.59,619,50,5,
1654,,CAMELIAS,PECHUGA REBOZADA,410,0,410,18,486.22,35.81,719.1,22.23,799,22.23,6,10,21,,6,K,1,44.31,849,70,7,
1655,,CAMELIAS,POLLO ENTERO,194,0,194,12,218.37,15.63,265.05,9.85,279,9.85,20,5,10.5,,20,K,1,23.92,299,20,5,
1656,,CAMELIAS,BIFE DE PECHUGA DE POLLO,472,0,472,18,559.75,29.18,759.05,22.72,799,22.72,10,5,10.5,,10,K,1,38.88,859,70,7,
1660,,CAMELIAS,OFERTA PATA MUSLO,178,0,178,5.5,188.73,10.12,229.66,10.12,229.66,10.12,15,0,10.5,,1,K,1,10.12,229.66,0,0,
1661,,SAGEMULLER,POLLO ENTERO OPTIMO,108.6,0,108.6,16,126.6,13.66,159,13.66,159,13.66,20,0,10.5,,20,K,1,13.66,159,0,0,
1700,,LYONCITY,FILET DE BOGA (AL PESO),599.9,0,599.9,16,699.36,29.87,1044.05,23.38,1099,23.38,10,5,21,,10,K,1,41.69,1199,0,0,D05
1702,,LYONCITY,FILET DE TARARIRA,999,0,999,18,1184.71,32.47,1709.1,19.23,1899,19.23,10,10,21,,10,K,1,39.45,1999,40,5,D06
1703,,LYONCITY,FILET DE SABALO,699,0,699,19,835.97,34.35,1223.1,20.92,1359,20.92,10,10,21,,10,K,1,38.31,1399,40,5,D07
1704,,LYONCITY,TARARIRA DESPINADA,499.99,0,499.99,16,582.89,41.64,899.1,27.48,999,27.48,10,10,21,,10,K,1,41.64,999,40,5,D08
1708,,ARTICO,RABAS PREFRITAS,1090,0,1090,18,1292.63,36.18,2023.5,29.37,2130,29.37,5,5,21,,5,K,1,36.18,2130,70,10,
1710,,MUNINI,FILET DE MERLUZA,439,0,439,16,511.79,37.1,789.57,27.5,849,27.5,7,7,21,,21,K,1,45.17,899,48,8,D09
1711,,ARTICO,MEJILLON,590,12,519.2,24,647.03,35.27,1006.05,28.5,1059,28.5,5,5,21,,10,K,1,40.37,1099,50,10,
