MP,90001,ACEITE MAIZOL X LITRO,218.880,U,1.00,18.00,0.00,140.000,21.00
MP,90002,AJI,420.000,K,1.00,1.00,0.00,402.000,21.00
MP,90003,AJO EN POLVO POR KILO,500.500,K,1.00,1.00,0.00,411.146,21.00
MP,90004,AJO GRANULADO X KILO,460.000,K,1.00,1.00,0.00,460.000,21.00
IN,90005,BANDEJA F75 CHICA,10.223,U,0.10,500.00,0.00,7.097,21.00
IN,90006,BARBIJOS X 50,388.430,U,1.00,1.00,0.00,1062.000,21.00
IN,90007,BOBINA LISA CRISTAL15X100,561.814,K,1.00,1.00,0.00,564.623,21.00
IN,90008,CAJA CHICA 320X320X200,91.950,U,0.50,30.00,0.00,91.950,21.00
IN,90009,CINTA ADHESIVA 48MM X100M,169.560,U,0.00,36.00,16.00,196.690,21.00
IN,90010,CINTA FRAGIL,435.675,U,0.00,36.00,0.00,308.625,21.00
IN,90011,COFIAS DESCARTABLES X100,446.280,U,1.00,1.00,1.00,452.997,21.00
MP,90012,FECULA POR KILO,210.700,K,1.00,25.00,16.00,153.219,21.00
MP,90013,HARINA  KILO,75.920,K,1.00,25.00,0.00,38.358,10.50
MP,90014,HUEVO EN POLVO POR KILO,945.000,K,1.00,25.00,0.00,608.025,21.00
MP,90015,LAUREL x KILO,595.900,K,1.00,1.00,1.00,604.868,21.00
MP,90016,LECHE EN POLVO POR KILO,636.320,K,1.00,25.00,0.00,397.980,21.00
MP,90017,LENTEJAS,130.650,K,1.00,50.00,0.00,130.650,10.50
MP,90018,NUEZ MOSCADA POR KILO,2290.000,K,1.00,1.00,0.00,1792.920,21.00
MP,90019,OREGANO POR KILO,709.800,K,1.00,1.00,0.00,568.830,21.00
MP,90020,PEREJIL,491.000,K,1.00,1.00,0.00,493.455,21.00
MP,90021,PIMENTON EXTRA xKg,226.500,K,1.00,1.00,0.00,226.500,21.00
MP,90022,PIMIENTA NEGRA MOLIDA XKG,1275.000,K,1.00,1.00,0.00,934.650,21.00
MP,90023,POLVO PARA HORNEAR X KILO,170.126,K,1.00,3.00,0.00,170.977,21.00
MP,90024,REBOZADOR POR KILO,128.000,K,1.00,25.00,0.00,68.340,21.00
MP,90025,TEXTURIZADO DE SOJA,90.000,K,1.00,15.00,0.00,90.450,21.00
MP,90026,TOMATE LATA X KILO,128.250,K,1.00,8.00,0.00,67.752,21.00
